"","stop_name","Order","X","Y","Alt","season","route_id","direction_id","day_type_name","time_period_id","time_period_name","stop_id","on","off","slider_ref"
"42","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-asmnl",0,12337,2
"43","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-qamnl",110,6433,2
"44","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_02","EARLY_AM","place-brntn",0,6412,2
"45","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-alfcl",372451,0,3
"46","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-davis",372722,3231,3
"47","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-portr",255267,10087,3
"48","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-harsq",184960,85248,3
"49","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-cntsq",199838,120944,3
"50","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-knncl",56897,227641,3
"51","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-chmnl",31190,101949,3
"52","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-pktrm",105230,303643,3
"53","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-dwnxg",163998,275678,3
"54","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-sstat",46880,379692,3
"55","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-brdwy",16061,43929,3
"56","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-andrw",17199,24009,3
"57","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-jfk",24565,111386,3
"58","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-shmnl",7276,7237,3
"59","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-nqncy",6705,36500,3
"60","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-fldcr",12980,30531,3
"61","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-wlsta",5002,5567,3
"62","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-smmnl",1807,12506,3
"63","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-qnctr",4337,41001,3
"64","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-asmnl",0,38739,3
"65","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-qamnl",565,15865,3
"66","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_03","AM_PEAK","place-brntn",0,10549,3
"67","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-alfcl",196752,0,4
"68","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-davis",231035,6548,4
"69","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-portr",163336,11542,4
"70","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-harsq",233481,70560,4
"71","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-cntsq",189460,85841,4
"72","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-knncl",91860,197667,4
"73","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-chmnl",62761,78902,4
"74","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-pktrm",161428,270663,4
"75","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-dwnxg",216904,234465,4
"76","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-sstat",74421,234917,4
"77","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-brdwy",17478,44967,4
"78","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-andrw",23345,43564,4
"79","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-jfk",45103,130900,4
"80","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-shmnl",4819,15022,4
"81","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-nqncy",11873,43771,4
"82","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-fldcr",10412,44444,4
"83","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-wlsta",8633,22634,4
"84","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-smmnl",1303,20577,4
"85","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-qnctr",5018,79523,4
"86","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-asmnl",0,61480,4
"87","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-qamnl",352,26221,4
"88","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_04","MIDDAY_BASE","place-brntn",0,25569,4
"89","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-alfcl",59955,0,5
"90","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-davis",62838,4611,5
"91","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-portr",45669,6903,5
"92","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-harsq",172338,23059,5
"93","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-cntsq",100113,34045,5
"94","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-knncl",157385,36882,5
"95","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-chmnl",102736,34439,5
"96","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-pktrm",198084,158294,5
"97","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-dwnxg",203502,164500,5
"98","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-sstat",111357,149721,5
"99","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-brdwy",25436,45375,5
"100","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-andrw",28821,60989,5
"101","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-jfk",60261,69807,5
"102","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-shmnl",4640,27354,5
"103","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-nqncy",13957,62834,5
"104","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-fldcr",16259,72630,5
"105","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-wlsta",4815,42594,5
"106","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-smmnl",1749,37004,5
"107","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-qnctr",2852,99259,5
"108","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-asmnl",0,118221,5
"109","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-qamnl",307,52538,5
"110","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_05","MIDDAY_SCHOOL","place-brntn",0,72016,5
"111","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-alfcl",152376,0,6
"112","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-davis",95174,20443,6
"113","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-portr",65715,17812,6
"114","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-harsq",261472,38963,6
"115","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-cntsq",176758,60575,6
"116","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-knncl",378498,36503,6
"117","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-chmnl",174562,61860,6
"118","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-pktrm",447995,265892,6
"119","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-dwnxg",403860,282570,6
"120","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-sstat",348532,314496,6
